LRD,Region,Rano Base Code,Administrative Status,Site Type,Cabin Id,DC Battery Name,Is the Battery visible,If not visible,Battery Brand,Battery Brand Others,Battery Model,Battery Model Others,Battery Capacity (Ah),Battery Voltage (Volt),Total Current Load,Total bank (Quantity),Number of Battery Cell/ Quantity,Battery Technology,Battery Hardening (Enhance Safety Request),Last Installation Date (DD/MM/YYYY),Battery Protection,Battery Cable Size,Battery Cable Type,Warranty End Date (DD/MM/YYYY),Battery Protection Capacity,Lithium battery alarm (4+7),Incomplete Parameter,Incomplete LRD
LRD9091,CENTRAL,BASE32,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,143.3,2,8,VRLA,Battery Concrete Bar,,,,07/22/17 00:00,,,,,
LRD9092,EASTERN,BASE1,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,133.1,4,16,VRLA,Battery Concrete Bar,,,,08/15/17 00:00,,,,,
LRD9094,CENTRAL,BASE1,Active,Inbuilding,Room Reno-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,41,1,8,VRLA,,,,,01/16/21 00:00,,,,,
LRD9099,CENTRAL,BASE32,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,AG12V155F,,155,12 volt,38,1,4,VRLA,,,,,,,,,,
LRD9100,CENTRAL,BASE9,Active,Rooftop,Outdoor-01,Battery-01,,,Huawei,,ESM-48150B1,,150,48 volt,147.4,2,2,Lithium,,,,,8/3/2020 0:00,,,,,
LRD9101,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Enersys,,Supersafe 12TD100F,,100,12 volt,20.6,1,4,VRLA,,,,,,,,,,
LRD9102,CENTRAL,BASE32,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,24,VRLA,Others,,,,,,,,,
LRD9105,SOUTHERN,BASE4,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD9107,CENTRAL,BASE9,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,Others,MPG12V170F,150,12 volt,104.6,1,4,VRLA,,,,,,,,,,
LRD9108,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,,,Hoppecke,,NET.POWER 12V150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9109,CENTRAL,BASE9,Active,Inbuilding,Room Reno-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,43,1,4,VRLA,,,,,04/16/20 00:00,,,,,
LRD9113,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,33.5,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9124,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,70.9,1,4,VRLA,Battery Concrete Bar,,,,11/19/18 00:00,,,,,
LRD9129,SOUTHERN,BASE20,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,28.3,1,4,VRLA,T5 Metal Plate,,,,01/23/18 00:00,,,,,
LRD9135,NORTHERN,BASE2,Active,Inbuilding,Cabin-01,Battery-01,Yes,,Narada,,,,150,12 volt,,4,16,VRLA,,,,,,,,,,
LRD9140,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,80,3,12,VRLA,Others,,,,05/20/21 00:00,,,,,
LRD9148,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,136.7,2,8,VRLA,T5 Metal Plate,,,,09/28/19 00:00,,,,,
LRD9141,SOUTHERN,BASE34,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,63,1,4,VRLA,T5 Metal Plate,,,,11/6/2019 0:00,,,,,
LRD9143,NORTHERN,BASE16,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Huawei,,ESM-48150B1,,150,48 volt,51.9,1,1,Lithium,,,,,9/11/2020 0:00,,,,,
LRD9145,CENTRAL,BASE32,Active,Vacant Land,Outdoor-01,Battery-01,,,Huawei,,ESM-48150B1,,150,48 volt,81,2,2,Lithium,,,,,8/8/2020 0:00,,,,,
LRD9154,NORTHERN,BASE7,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,,,100,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9157,NORTHERN,BASE7,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,40,2,8,VRLA,Battery Concrete Bar,,,,1/7/2017 0:00,,,,,
LRD9158,SABAH,BASE17,Active,Rooftop,Cabin-01,Battery-01,,,Enersys,,Supersafe 12TD150F,,150,12 volt,,2,0,VRLA,T5 Metal Plate,,,,06/21/18 00:00,,,,,
LRD9159,CENTRAL,BASE32,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9160,CENTRAL,BASE1,Active,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD9162,SABAH,BASE29,Active,Rooftop,Cabin-01,Battery-01,,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,4,VRLA,,,,,,,,,,
LRD9167,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,102,2,8,VRLA,Battery Concrete Bar,,,,01/30/18 00:00,,,,,
LRD9174,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9176,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD9180,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,AG12V155F,,155,12 volt,50.4,1,4,VRLA,,,,,,,,,,
LRD9181,SABAH,BASE25,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Others,,,,3/1/2019 0:00,,,,,
LRD9182,SABAH,BASE23,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD9183,CENTRAL,BASE32,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9185,NORTHERN,BASE7,Active,Inbuilding,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD9187,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,MSB,,MSG12-100TE,,100,12 volt,47,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9188,NORTHERN,BASE2,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9190,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,MSB,,MSG12-100TE,,100,12 volt,60,2,8,VRLA,Battery Hardening,,,,10/12/2014 0:00,,,,,
LRD9191,NORTHERN,BASE16,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,110,3,12,VRLA,Battery Concrete Bar,,,,8/3/2019 0:00,,,,,
LRD9192,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9196,SARAWAK,BASE8,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,75,2,8,VRLA,,,,,03/22/21 00:00,,,,,
LRD9198,CENTRAL,BASE32,Active,Rooftop,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9199,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,MPG12150F,,150,12 volt,,1,12,VRLA,,,,,,,,,,
LRD9200,SOUTHERN,BASE6,Active,Inbuilding,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,0,0,VRLA,,,,,,,,,,
LRD9206,SOUTHERN,BASE19,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,No Hardening,,,,,,,,,
LRD9215,CENTRAL,BASE6,Active,Rooftop,Cabin-01,Battery-01,,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,24,VRLA,,,,,,,,,,
LRD9217,SARAWAK,BASE8,Active,Vacant Land,Cabin-01,Battery-01,,,Hoppecke,,NET.POWER 12V150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9223,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,82,1,4,VRLA,T5 Metal Plate,,,,2/1/2018 0:00,,,,,
LRD9225,EASTERN,BASE27,Active,Inbuilding,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,63.7,2,8,VRLA,,,,,3/7/2018 0:00,,,,,
LRD9227,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,73.6,2,8,VRLA,Battery Concrete Bar,,,,03/20/17 00:00,,,,,
LRD9228,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,MSB,,MSG12-100TE,,100,12 volt,120,2,8,VRLA,,,,,,,,,,
LRD9233,CENTRAL,BASE9,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Exicom,Energy Qb,Energy QB 48V/100Ah,,100,48 volt,86.6,1,7,Lithium,,,,,,,,,,
LRD9236,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,Supersafe 12TD150F,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD9237,CENTRAL,BASE9,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,97.6,3,12,VRLA,Battery Concrete Bar,,,,12/6/2019 0:00,,,,,
LRD9238,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,,,600,2 volt,,1,24,VRLA,,,,,,,,,,
LRD9240,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD9244,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Sonnenschein,,OPzV 1000,,1000,2 volt,48.9,1,24,VRLA,Others,,,,,,,,,
LRD9247,NORTHERN,BASE15,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT155S,,155,12 volt,47,1,4,VRLA,Battery Concrete Bar,,,,10/14/16 00:00,,,,,
LRD9248,NORTHERN,BASE2,Active,Rooftop,Cabin-01,Battery-01,,,Enersys,,Supersafe 12TD150F,,150,12 volt,1,2,8,VRLA,Battery Concrete Bar,,,,10/5/2021 0:00,,,,,
LRD9252,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Others,,,,04/27/19 00:00,,,,,
LRD9258,NORTHERN,BASE13,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9261,NORTHERN,BASE13,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,67,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9264,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,,3,12,VRLA,,,,,,,,,,
LRD9273,SABAH,BASE17,Active,Inbuilding,Outdoor-01,Battery-01,,,Haze,,12V100AH,,100,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9275,CENTRAL,BASE12,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,ACME G AG12V155F,,155,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9276,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9279,SABAH,BASE29,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9283,SOUTHERN,BASE4,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Enersys,,Supersafe 12TE100F,,100,12 volt,64,1,4,VRLA,T5 Metal Plate,,,,4/7/2018 0:00,,,,,
LRD9296,CENTRAL,BASE12,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Huawei,,ESM-48150B1,,150,48 volt,80,2,2,Lithium,,,,,7/3/2020 0:00,,,,,
LRD9298,CENTRAL,BASE6,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,25,1,4,VRLA,T5 Metal Plate,,,,01/30/18 00:00,,,,,
LRD9299,CENTRAL,BASE6,Active,Rooftop,Cabin-01,Battery-01,,,MSB,,MSG12-150UP PLUS,,150,12 volt,,2,8,VRLA,Others,,,,,,,,,
LRD9300,CENTRAL,BASE6,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Huawei,,ESM-48150A1,,150,48 volt,29,1,1,Lithium,,,,,12/1/2019 0:00,,,,,
LRD9301,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,70.7,2,8,VRLA,Battery Concrete Bar,,,,04/30/16 00:00,,,,,
LRD9305,CENTRAL,BASE6,Active,Inbuilding,Room Reno-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,25,1,4,VRLA,,,,,01/30/18 00:00,,,,,
LRD9306,CENTRAL,BASE6,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,97.66,2,8,VRLA,Battery Concrete Bar,,,,05/18/17 00:00,,,,,
LRD9309,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9311,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,GFMJ-400A,,400,2 volt,,1,24,VRLA,,,,,,,,,,
LRD9312,EASTERN,BASE27,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,50,3,12,VRLA,Battery Concrete Bar,,,,03/13/18 00:00,,,,,
LRD9313,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,52.8,1,4,VRLA,Battery Concrete Bar,,,,2/1/2018 0:00,,,,,
LRD9316,SABAH,BASE25,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD9317,EASTERN,BASE30,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TD100F,,100,12 volt,29.7,1,4,VRLA,Battery Hardening,,,,3/4/2021 0:00,,,,,
LRD9330,SABAH,BASE29,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,64.4,1,4,VRLA,T5 Metal Plate,,,,10/2/2019 0:00,,,,,
LRD9332,SOUTHERN,BASE20,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD9343,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,Supersafe 12TD150F,,150,12 volt,,2,0,VRLA,,,,,,,,,,
LRD9351,CENTRAL,BASE26,Active,,Room Reno-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,54.32,2,8,VRLA,,,,,04/19/18 00:00,,,,,
LRD8804,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,91.8,2,8,VRLA,Battery Concrete Bar,,,,7/11/2019 0:00,,,,,
LRD8816,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,89,2,8,VRLA,T5 Metal Plate,,,,2/11/2017 0:00,,,,,
LRD8817,SABAH,BASE17,Testing,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Others,,,,05/14/18 00:00,,,,,
LRD8818,CENTRAL,BASE1,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,38,2,8,VRLA,Battery Concrete Bar,,,,05/29/19 00:00,,,,,
LRD8819,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Others,,,,2/12/2018 0:00,,,,,
LRD8824,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD8825,SOUTHERN,BASE4,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,81.83,2,8,VRLA,Battery Concrete Bar,,,,10/10/2019 0:00,,,,,
LRD8826,CENTRAL,BASE1,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD8830,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD8831,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD8832,EASTERN,BASE5,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Hoppecke,,,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD8834,CENTRAL,BASE12,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Huawei,,ESM-48150B1,,150,48 volt,111.8,2,2,Lithium,T5 Metal Plate,,,,5/4/2020 0:00,,,,,
LRD8835,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,61,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD8840,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD8841,CENTRAL,BASE12,Active,Vacant Land,Cabin-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,132.6,3,12,VRLA,Battery Concrete Bar,,,,05/22/19 00:00,,,,,
LRD8847,NORTHERN,BASE15,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,150,2,8,VRLA,Battery Concrete Bar,,,,2/3/2019 0:00,,,,,
LRD8851,SABAH,BASE25,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD8852,SABAH,BASE29,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,MPG12150F,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD8856,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,134.6,1,4,VRLA,Battery Concrete Bar,,,,05/28/19 00:00,,,,,
LRD8860,SOUTHERN,BASE20,Active,Rooftop,Cabin-01,Battery-01,Yes,,MSB,,MSG12-200 ULTRA,,200,12 volt,,3,12,VRLA,Battery Concrete Bar,250,25mm,,,,Breaker,Yes,,
LRD8857,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD8858,SABAH,BASE23,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,ACME F 2V400AH Eosg400,,400,2 volt,29,1,24,VRLA,Battery Hardening,,,,,,,,,
LRD8859,CENTRAL,BASE1,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,,,100,12 volt,,1,4,VRLA,,,,,,,,,,
LRD8863,SOUTHERN,BASE4,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,46.9,2,8,VRLA,Battery Concrete Bar,,,,03/14/18 00:00,,,,,
LRD8865,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD8868,CENTRAL,BASE1,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,48NPFC100,,100,48 volt,92,1,7,Lithium,No Hardening,,,,1/1/2022 0:00,,,,,
LRD8869,SARAWAK,BASE28,Planned,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Others,,,,2/12/2018 0:00,,,,,
LRD8871,NORTHERN,BASE2,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD8872,CENTRAL,BASE9,Active,Inbuilding,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,46.02,1,4,VRLA,Battery Concrete Bar,,,,03/22/19 00:00,,,,,
LRD8873,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,GFMJ-600A,,600,2 volt,65,1,24,VRLA,Others,,,,,,,,,
LRD8874,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,97.46,4,16,VRLA,Battery Concrete Bar,,,,4/7/2019 0:00,,,,,
LRD8877,SOUTHERN,BASE4,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Sacredsun,,Others,SSIFP48100A,100,48 volt,,13,0,VRLA,Battery Hardening,,,,12/18/19 00:00,,,,,
LRD8881,EASTERN,BASE27,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,88.71,3,12,VRLA,Battery Concrete Bar,,,,07/20/19 00:00,,,,,
LRD8883,SABAH,BASE29,Active,Inbuilding,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD8887,NORTHERN,BASE16,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD8890,SOUTHERN,BASE6,Active,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,39,1,4,VRLA,Others,,,,2/12/2018 0:00,,,,,
LRD8893,SOUTHERN,BASE20,Active,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,Supersafe 12TD150F,,150,12 volt,,2,0,VRLA,,,,,,,,,,
LRD8897,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,25.1,2,8,VRLA,T5 Metal Plate,,,,01/22/20 00:00,,,,,
LRD8904,NORTHERN,BASE2,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,53,2,8,VRLA,Battery Concrete Bar,,,,10/16/17 00:00,,,,,
LRD8908,CENTRAL,BASE9,Active,Rooftop,Outdoor-01,Battery-01,,,Huawei,,ESM-48150B1,,150,48 volt,99.7,2,2,Lithium,,,,,06/23/20 00:00,,,,,
LRD8912,SOUTHERN,BASE34,Active,Vacant Land,Cabin-01,Battery-01,,,Hoppecke,,NET.POWER 12V150,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD8915,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Others,,,,04/20/18 00:00,,,,,
LRD8916,NORTHERN,BASE2,Active,Inbuilding,Cabin-01,Battery-01,Yes,,Narada,,,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD8921,NORTHERN,BASE7,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,24,VRLA,,,,,,,,,,
LRD8926,SOUTHERN,BASE20,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,67.5,1,4,VRLA,T5 Metal Plate,,,,05/29/19 00:00,,,,,
LRD8928,SOUTHERN,BASE19,Planned,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,Supersafe 12TD150F,,150,12 volt,,2,0,VRLA,,,,,,,,,,
LRD8939,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,77,4,16,VRLA,Battery Hardening,,,,,,,,,
LRD8941,NORTHERN,BASE13,Active,Inbuilding,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,11/20/18 00:00,,,,,
LRD8947,CENTRAL,BASE26,Active,,Room Reno-01,Battery-01,Yes,,Narada,,12NDT85S,,85,12 volt,0.6,1,4,VRLA,,,,,02/13/18 00:00,,,,,
LRD8949,NORTHERN,BASE7,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,66,2,8,VRLA,Battery Concrete Bar,,,,12/6/2018 0:00,,,,,
LRD8953,EASTERN,BASE18,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD8954,NORTHERN,BASE13,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD8955,NORTHERN,BASE2,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD8957,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,,,Tudor,,Others,2V 600AH,600,2 volt,,1,4,VRLA,Battery Iron Bar,,,,,,,,,
LRD8958,CENTRAL,BASE1,Active,Inbuilding,Room Reno-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,24,VRLA,Battery Hardening,,,,,,,,,
LRD8962,SOUTHERN,BASE19,Active,Rooftop,Room Reno-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,34.8,2,8,VRLA,Battery Iron Bar,,,,,,,,,
LRD8965,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,68,1,4,VRLA,T5 Metal Plate,,,,06/21/19 00:00,,,,,
